time,FMIDPRICE,f2,f3,f4,f5,f6,f7,f8,f9,f10
2017-09-01 08:46:50.992018,10575.5,10.0,-0.971830985915,0.298226372501,0.674291117436,0.0,-9.0,3.0,0.0,0.0
2017-09-01 08:46:51.367002,10576.5,1.0,-0.971014492754,0.150169977102,0.527079560246,0.0,1.0,0.0,0.0,0.0
2017-09-01 08:46:53.492031,10577.5,35.0,-0.977011494253,1.58653782567,1.47277013749,0.0,56.0,153.0,1.71970367921,6.4279722945
2017-09-01 08:46:57.867040,10578.5,21.0,-0.968253968254,1.32517459089,0.999890806055,0.0,107.0,93.0,1.61574881499,4.32328154473
2017-09-01 08:47:07.117035,10577.5,-104.0,-0.932773109244,-1.0919848594,-0.945371228912,0.0,50.0,27.0,0.747949300855,0.828929346058
2017-09-01 08:47:10.992032,10576.5,-120.0,0.951219512195,-0.98513214126,-0.946028199943,0.0,-8.0,-13.0,0.0,0.6281214656
2017-09-01 08:47:20.992046,10575.5,-27.0,0.978260869565,-0.719180269122,-0.348419682139,0.0,-11.0,-22.0,0.0,-1.20825129058
2017-09-01 08:47:21.491886,10576.5,-2.0,-0.947368421053,-0.448108438694,-0.366234821823,0.0,3.0,-5.0,0.0,-0.285930539413
2017-09-01 08:47:25.991907,10575.5,15.0,0.979591836735,0.340181202565,-0.386397105414,0.0,-4.0,-7.0,0.0,-0.285930539413
2017-09-01 08:47:26.992064,10576.5,-4.0,-0.954545454545,-0.352213963136,-0.465623162911,0.0,4.0,-4.0,0.0,0.0
2017-09-01 08:47:37.991941,10575.5,-55.0,-0.959183673469,-0.315928535226,-0.817221676083,0.0,-19.0,-35.0,0.0,-1.40475628862
2017-09-01 08:47:41.741923,10574.5,-72.0,0.980198019802,-0.485287817369,-0.247884030547,1.0,-25.0,-31.0,0.349613448744,-1.40451455167
2017-09-01 08:47:48.242082,10575.5,-15.0,0.98,-0.654840927255,-1.43551294808,0.0,-11.0,-8.0,-0.230883123408,-0.131741968149
2017-09-01 08:47:49.867103,10574.5,-3.0,-0.978947368421,-0.176731196797,-0.798444298443,0.0,1.0,-7.0,0.0,-0.381240719217
2017-09-01 08:48:02.741938,10573.5,-49.0,0.934065934066,-0.48936542478,0.0,0.0,-25.0,-38.0,0.0,-1.34127000063
2017-09-01 08:48:03.117116,10574.5,1.0,0.975,-0.221710287593,-0.672481512909,0.0,-6.0,1.0,-0.230883123408,0.0
2017-09-01 08:48:03.492104,10573.5,-2.0,0.975609756098,-0.453264626987,-0.525672357096,0.0,2.0,-6.0,0.0,-0.460737263785
2017-09-01 08:48:04.741988,10574.5,-1.0,0.975609756098,-0.407051149391,-0.785679050719,0.0,8.0,1.0,0.0,0.381240719217
2017-09-01 08:48:15.242115,10573.5,-68.0,-0.942857142857,-0.969622373502,-1.49975239163,-1.0,-17.0,-28.0,0.0,-0.160009154723
2017-09-01 08:48:21.742138,10572.5,-29.0,0.97619047619,-0.56220935247,-0.261442085354,0.0,-25.0,-27.0,0.0,-0.645334138851
2017-09-01 08:48:22.116965,10573.5,5.0,-0.783783783784,-0.345154557835,-0.43975877054,0.0,1.0,0.0,0.0,0.0
2017-09-01 08:48:25.242141,10572.5,-59.0,-0.878787878788,-1.06953042469,-0.94641043709,0.0,-1.0,-21.0,0.0,-0.109102932513
2017-09-01 08:48:27.867134,10573.5,67.0,0.978021978022,0.930361854041,0.734151480867,0.0,-2.0,32.0,0.0,0.673046508853
2017-09-01 08:48:31.241989,10574.5,61.0,-0.958333333333,0.964522211192,1.50334523826,0.0,4.0,9.0,0.0,0.384805205681
2017-09-01 08:48:31.991995,10573.5,14.0,0.979797979798,0.550210709469,0.8004944145,0.0,-1.0,-6.0,0.0,-0.339986055921
2017-09-01 08:48:34.616992,10574.5,4.0,0.979797979798,-0.491925712875,0.625585837411,0.0,3.0,-9.0,0.0,-0.230883123408
2017-09-01 08:48:34.991993,10573.5,4.0,0.962264150943,0.3573730577,0.535714330437,0.0,-2.0,0.0,0.0,0.0
2017-09-01 08:48:43.492148,10574.5,4.0,0.98,-0.327785538423,0.41861351339,0.0,3.0,-16.0,0.0,-0.476550899022
